Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
8	4	96	81	-8.864250620188313e-05	158.1838962959318	273.73054675507257	False
8	8	87	86	0.0002227225834391527	156.27582815476114	270.5949995583709	False
8	12	30	8	0.0007436441441289415	163.95390752277874	9.049710586250452	False
8	16	97	80	-0.0006627859125941199	164.11210701365587	283.6997843220562	False
8	20	88	85	-0.0001695044313195146	158.52406868948344	273.56091370549933	False
8	24	115	85	0.009508899710308818	123.38352892654939	49.748201450597705	True
8	28	29	8	0.0005839971668522594	90.77687004922994	156.63944917957483	False
8	32	31	7	0.00020432563526436788	103.80224380659362	179.13965601139924	False
8	36	30	8	-0.00018888374417799753	104.80315561162223	3.2246539024649756	False
8	40	26	9	9.745316513909563e-05	102.9485954278245	178.16013538833343	False
8	44	31	7	0.00011228446168853354	111.45734674458728	192.40405978408447	False
8	48	29	8	0.00030621707047155374	120.56413066672017	4.0670463869563775	False
8	52	29	8	0.0004189212688094436	125.19329231996065	216.557207654743	False
8	56	92	83	-6.39424790502518e-05	128.06262315135731	221.5645255468207	False
8	60	114	78	-0.0003000164102865992	129.967644057535	4.545422649662678	False
8	64	89	83	-3.608211386050899e-05	130.04794148378255	224.9982006163966	False
8	68	92	83	-5.07148664735416e-05	130.29151148234564	225.54081935216755	False
8	72	29	8	0.00035779063139297846	130.69004646683166	5.929159644928542	False
8	76	97	80	-0.00024689207986465354	130.43444175275292	225.7256267324898	False
8	80	101	85	0.000415340094561235	131.74471372363084	228.0109384334804	False
8	84	30	8	-0.0007943605452641194	130.28671017039798	7.123913208003719	False
8	88	90	82	-0.0005588451897426926	128.2628677488709	221.52955530880465	False
8	92	91	81	-0.00047439423996258577	129.50630008638316	223.80228813002913	False
8	96	114	78	-0.0003223143905163355	128.83321157730305	5.419009822202403	False
8	100	90	82	-8.849793698711438e-05	127.91112248195873	221.17328488042858	False
8	104	90	82	-0.00028461419030316064	132.96213635209986	229.79185848006202	False
8	108	98	77	-5.2213508012918946e-05	131.3089058480493	1.7790956979980475	False
8	112	97	80	-0.0006085844949936294	130.41769584232034	225.40798623597044	False
8	116	97	87	-0.0002615702074890673	128.13420192151702	221.57614359661392	False
8	120	114	78	-8.038741832148314e-05	127.55832279476034	4.055835817347979	False
8	124	90	82	-0.00035362595262943133	127.87273989787374	221.08106074140142	False
12	0	86	86	-2.0735485176084784e-05	158.17625145896793	273.92842466451793	False
12	4	114	78	0.0003168633514251728	159.99382580433465	4.154597078620556	False
12	8	29	8	0.0008953515580338399	163.444304393986	282.72199146807924	False
12	12	88	85	-4.546028490604471e-05	167.60338996485382	290.0974322200297	False
12	16	30	8	-0.0006012593107538064	159.88190724121623	7.905563369761723	False
12	20	92	85	-0.0002053569923824576	160.08353552553183	277.0182148697767	False
12	24	117	70	0.0061214786166843916	120.28386071117409	205.50690207691028	True
12	28	30	8	0.0011268708013570292	91.92651003575837	11.993355338034176	False
12	32	29	8	0.0005164203145165307	102.72971129778895	177.34558275015272	False
12	36	113	76	-0.00021201566385203963	104.41218366642545	180.59697963086336	False
12	40	29	8	0.0001623268869327972	103.26843073514853	3.1155131339391104	False
12	44	29	8	0.0008193670916494627	109.63681343767558	189.22868872580696	False
12	48	31	7	0.0002006257924046972	120.55387933485105	208.22871069530794	False
12	52	91	81	2.566688748063294e-05	124.22755986066659	5.578907599804536	False
12	56	27	9	8.160392741316591e-05	127.05423576148308	219.9321099420372	False
12	60	97	87	-0.00015751891898635226	128.01188099777258	221.5036036214541	False
12	64	44	8	0.00021641743072717452	128.26736818043128	4.6287673851275875	False
12	68	113	74	-0.00018544573448577264	129.52064949023256	224.15946476071468	False
12	72	93	83	-0.0002266587563914866	129.5488601236974	224.18779791661484	False
12	76	30	8	-9.662959175852322e-05	129.17810817897796	3.273629579460781	False
12	80	27	9	0.00011714001709024714	130.51061202914013	225.69371323107674	False
12	84	89	85	-0.0003208001202705343	128.16831194151843	221.3080999999341	False
12	88	30	8	-0.0002580830380618411	123.41013697905875	3.602780768573131	False
12	92	26	9	0.00024546240048856815	124.20678595929752	214.6820836726633	False
12	96	99	79	-0.0003300322071469427	125.14223929812235	216.45341702353844	False
12	100	34	8	-5.984678307381171e-05	124.26822671912804	5.791865338111268	False
12	104	87	83	0.00014394324037742207	128.53951092556383	222.51182815501852	False
12	108	31	7	8.878085403104934e-05	131.21127882141866	226.92447347600256	False
12	112	30	8	-0.0004084518762944759	128.97417376805973	5.561835312691459	False
12	116	96	81	-0.00014166034143211145	127.95907571348837	221.45401190804773	False
12	120	99	79	-5.638148098212637e-05	126.0021840663585	218.09389242041135	False
12	124	99	84	0.00011807369674675466	126.15784585321519	1.6803934174890596	False
16	0	93	79	-9.133299266622828e-05	160.7549497865072	278.2278621969823	False
16	4	29	8	0.0007121589135411328	163.99707506540514	283.65451875928784	False
16	8	30	8	-0.0013373591108237848	164.3504386959476	12.717816862306035	False
16	12	90	82	-0.0004449442953123191	159.69038581792177	275.75388070814165	False
16	16	95	81	-7.606960552371756e-06	160.186372182957	277.3145040941721	False
16	20	29	8	-0.0007645722776305909	158.3673995505089	9.325576868261559	False
16	24	114	70	0.007062743178512473	123.92026709178306	211.30773471294964	True
16	28	31	7	0.0006571140228939935	88.66545268526622	152.52236304249735	False
16	32	30	8	0.0004571927549620333	101.8418646738856	5.960840579470118	False
16	36	96	81	7.302244418333427e-05	103.10795177017172	178.36107244642727	False
16	40	101	86	5.454904755947851e-05	102.51027118056422	177.51892050892457	False
16	44	30	8	0.0012529034680610965	110.25811933665786	13.19118600087841	False
16	48	29	8	0.00019934936357982218	119.27983296819038	206.40518351723705	False
16	52	30	8	0.00022216756506461581	122.86374544821699	212.5137041148641	False
16	56	99	84	0.00019129367784739598	124.89726361772296	2.7461413445718623	False
16	60	88	83	5.00154971851928e-06	125.28837532768704	216.7809035371161	False
16	64	30	8	0.0003698589821484676	127.24599053631336	220.23622658175017	False
16	68	98	84	-0.0003915303625101184	128.16420347245665	4.689181286107004	False
16	72	29	8	0.00021505505418304558	127.83506152758903	221.21981759343	False
16	76	113	76	-0.00021380171533630108	129.33865283988501	223.75423867168863	False
16	80	30	8	0.000578460816970978	129.0206428031817	6.460375393476399	False
16	84	97	80	-0.00022874745095968608	126.57077235806504	219.00577401506862	False
16	88	87	85	0.0003133595377808833	125.23179089339497	216.49116478365113	False
16	92	118	79	-0.0005042932168895057	126.62148469081876	27.069048642730007	True
16	96	111	107	0.002517315422492544	130.78156907314624	222.5088988682875	True
16	100	109	115	0.00023315694897027507	123.11642576943866	211.53530443824567	True
16	104	91	81	-0.00012731510055674029	123.38366931063497	11.650013355982017	False
16	108	90	82	-0.00026661595425409924	127.81475895349688	220.75061880971495	False
16	112	114	78	-9.584702538101846e-05	127.15384495508349	220.0485410401323	False
16	116	29	8	0.0004317560764742064	128.05295952278837	4.172163380058589	False
16	120	96	81	-2.8619366950647238e-05	127.36926724632875	220.38575227678788	False
16	124	94	81	-4.220486974662994e-05	126.67378145749919	219.23147228052713	False
20	0	88	84	0.00023778260732284487	161.264842411911	6.125103326163261	False
20	4	97	80	-0.00019805800730157537	166.55673861702482	288.2005780123981	False
20	8	106	106	0.0008881763820179049	147.54326803195724	252.13734283283623	True
20	12	29	8	0.0020315151316989935	150.09032425897098	25.830648390542255	False
20	16	97	80	-0.0002341699889572743	162.59701278978997	281.25715044502397	False
20	20	88	85	-0.00021981752534295967	160.75176086509543	277.5692817331226	False
20	24	115	85	0.010840776214121904	121.24207159052433	56.46750573037823	True
20	28	29	8	0.000902242842029666	87.11069260631947	150.16963920586034	False
20	32	31	7	0.0002911804530881139	101.3680559728711	174.84428501161221	False
20	36	88	83	1.3082874060078992e-05	103.50669752658025	4.3519816619943406	False
20	40	95	79	0.00013727647589275126	103.62467508540257	179.44358522384073	False
20	44	29	8	0.0006651341295543625	112.68113243669161	194.76528860376436	False
20	48	30	8	0.0004992875239018651	119.89365791669321	5.859269296871779	False
20	52	29	8	0.0004979557708601287	123.78628760577521	214.01214261954644	False
20	56	93	83	-0.00012159143724583544	125.61526954639892	217.36424247637626	False
20	60	29	8	0.0003247839922342509	127.77414282610813	3.9764478270372154	False
20	64	26	9	0.00027942094816803064	128.32663516481767	222.06726728417277	False
20	68	88	85	-0.00011397092510104324	127.70667302661562	220.88013003380016	False
20	72	95	87	1.374420971021239e-05	128.34865826965313	5.285302355883168	False
20	76	88	83	-5.486361955551466e-06	128.12519216001988	221.64781238780878	False
20	80	101	85	0.0017420448979087524	133.67446585916457	231.38289084806323	False
20	84	88	83	0.0006427865273750491	141.11759322747184	23.11136069893434	False
20	88	92	100	-0.0009668951431078429	148.4690056759647	253.8748414103101	True
20	92	117	85	-0.0015678036986875264	165.137930556203	282.89590550260334	True
20	96	114	78	0.0002696502543052912	177.12219285441822	4.75802320254628	False
20	100	106	107	-0.0007764198743180336	178.0801813215499	305.6532841992871	True
20	104	111	114	0.004283642712445109	163.96279187847043	277.8494632937192	True
20	108	111	115	0.007768564680394125	147.80969165262084	93.77928207633093	True
20	112	120	73	0.003634586160996154	125.72327984193635	213.48921737336985	True
20	116	90	82	-0.00012482926760092291	126.59778536271307	218.77414205192758	False
20	120	114	78	-0.00011827280542775584	127.42809777989153	5.566172224582737	False
20	124	118	4	-8.996043686828882e-05	126.09018598785957	218.31452445803362	False
24	0	29	8	0.001015145659152695	166.35852686776022	287.42993918924043	False
24	4	30	8	-0.003549327822895931	158.67763489201423	32.15503925160744	False
24	8	106	107	0.001021056001953985	118.81959980012779	200.5683636325916	True
24	12	31	7	0.0016993016911528687	150.65944243042296	259.1837654398961	False
24	16	29	8	-0.0001876005441680206	165.2164483096245	3.927181378298171	False
24	20	97	80	-0.0006578297891804384	163.151812159821	281.8672353075159	False
24	24	117	70	0.007422500876207545	119.0925473169492	203.93855258543826	True
24	28	29	8	0.0009110460997294729	83.8798830987864	15.605382410649039	False
24	32	26	9	0.0005508947914517879	95.2513320899447	164.38120465236722	False
24	36	97	87	-0.0001537460749887559	100.02346159157169	172.83750621560145	False
24	40	29	8	0.00035993624788018864	102.86689565093548	6.3937408424826945	False
